ISO,Constant,ln_Q,rpa,rpa2,w_bu_val,inv_TT_Cities
AGO,0.329602904056365,0.069775210937338,-0.0364342272897148,0.00309445750774613,-0.0110154332094889,3.66888441970677
BEN,0.182282886797673,0.0536528115237892,0.0693636140393138,-0.0194828262606882,0.00331159606194598,1.41080552065837
BFA,0.0387288985574716,0.0162434504810042,-0.016561288080622,0.00427451935924149,-0.0108163645166099,2.70776225876048
BWA,0.20525679453376,0.0439189454489636,-0.00858383198410524,0.00147948086057809,0.00423609491628302,0.385955225148926
CAF,0.0839283319479693,0.0186401040322373,-0.00775798296007118,0.000335650920493502,-0.0221716900371414,3.51321801699946
CIV,0.236634162574212,0.0557110945959139,-0.0134659171513654,-5.50006343771719e-05,0.00923630770623817,1.89126735784778
CMR,0.131612837880913,0.0292895020868607,-0.00614824917297897,-9.74435927577245e-05,0.00275052964217722,0.789493619334524
COD,0.180922235040597,0.0403672149213111,-0.00201770270094264,-0.000618303502487806,0.0370716676495582,1.14814883780455
COG,0.272050854971263,0.0629876310556277,0.0202089035409545,-0.000229034705591868,0.00301497783219632,1.04042436002868
DJI,0.063409778266994,0.0118487648145832,-0.0238445008252362,0.00220678039049786,0.308584596565863,-0.00154119499677935
DZA,0.344825515839741,0.0803177745902763,-0.00997271085086881,-0.000415891805274451,0.018588237029846,1.84894186035786
EGY,-0.0745620446051977,0.0787076843653693,0.133183123000699,-0.00434428560916427,0.0255734280388783,-0.00462815808872211
ERI,0.0902812216866606,0.0193152692411456,-0.00246427642459553,0.000411687044913686,0.31895215946482,-0.010071051472475
ESH,-0.224112511234491,-0.0499172593477887,-0.0106402102519339,0.00177717078765371,0.0390865934593,0.575651383302816
ETH,0.0465164078025265,0.0162819812144529,0.00667616508740447,0.00222787479108115,0.13122133473868,0.766108756161074
GAB,0.0826157797992536,0.0189007225883471,0.00442399274176132,-0.000146153043617513,0.0126691409308678,0.204523384677847
GHA,0.286832661282052,0.0908900841423349,0.117627958280712,-0.0264376833444213,-0.0166425571734108,3.08719468392386
GIN,0.0643795912308049,0.026708566801457,-0.00633621553718897,-0.00152173693784504,-0.0136461126397146,4.57885749818319
GNB,0.0832666222047755,0.0222464102706952,-0.00123449778989588,-0.0016866593729988,-0.0127017240050258,2.38034673502893
GNQ,0.142535137847335,0.0266612034969304,-0.0402264908448465,0.0104564189467557,0.0290055069755193,0.521625974793055
KEN,-0.00100757922744492,0.00305989868009435,-0.0065710640075838,0.000916040867822313,0.0583611401535127,0.875229964906284
LBR,0.147559805634528,0.042484753337473,0.0612511764473447,-0.0157078491120357,0.0179055071210382,1.09736761548792
LBY,-0.0299643418271061,0.0746164232459808,0.0495289474738824,-0.000293167413124178,-0.0238813861155858,1.84344966422775
LSO,0.0413077973605557,0.0100126934506079,-0.036405930438348,0.00621832889223947,-0.00915030607896258,2.63934514901705
MAR,0.0793886320006158,0.0314347256285692,-0.0338720871473758,0.0202540181389241,-0.00104018349904913,1.94068979692515
MLI,0.0448773709959689,0.0111798865304084,-0.0167682956394598,0.0013411690695488,-0.0351395891805087,3.97594465850699
MOZ,0.0550786485005753,0.0239542656033393,0.0580149411996191,-0.00511033559878083,0.0735980523055594,0.201824734771986
MRT,0.00919693393002705,0.00177575650369539,-0.0114983688916564,0.000894208126644268,-0.0550904945356265,4.48042453623203
MWI,-0.0174507595690081,0.0029195139650558,0.011608589445207,-0.00528901573689171,0.0670023659116209,1.0629012059516
NAM,0.00448343859093333,0.00185412461450709,-0.00347845471217139,0.000144762620455505,0.0716340843237042,1.35340798310818
NER,0.146544542976557,0.0325744831711811,-0.00412642546391114,4.39690738042909e-05,0.0275098273426786,1.14297927855246
NGA,0.0978791710833551,0.0555218703381455,0.119598939011453,-0.0314577536943452,0.0310010763091316,2.28492963242312
RWA,0.404867608385868,0.057503728390279,-0.369982225550323,0.132753509123021,0.0868149032517962,1.87744851019462
COM,0.0171532932654231,0.00346336526528014,-0.00950333205964218,-0.000462875316601703,0.0707865890530328,1.19165404149972
MDG,0.0171532932654231,0.00346336526528014,-0.00950333205964218,-0.000462875316601703,0.0707865890530328,1.19165404149972
MUS,0.0171532932654231,0.00346336526528014,-0.00950333205964218,-0.000462875316601703,0.0707865890530328,1.19165404149972
SEN,0.184437357554375,0.0652029526442122,0.0652993439727772,0.00684720571755082,-0.0760570424937603,4.36962284888499
GMB,0.184437357554375,0.0652029526442122,0.0652993439727772,0.00684720571755082,-0.0760570424937603,4.36962284888499
SLE,0.223836323308488,0.0345352934261697,-0.186879997655612,0.00904823263868645,-0.0704890934501019,8.27312554873149
SOM,0.0765930612351452,0.017826387301134,0.00275254409191803,0.000343662830282602,0.00258389314882805,0.119435859819765
STP,0.0826157797992536,0.0189007225883471,0.00442399274176132,-0.000146153043617513,0.0126691409308678,0.204523384677847
TCD,0.157702123698149,0.0340402551371946,-0.00313855969394458,0.000287226643265446,0.00625048117040474,0.440191073010921
TGO,0.0776462357577727,0.0307770340725863,0.0536432888041016,-0.00748034346922454,0.00343000304185429,0.734480476292869
UGA,-0.0272294151931629,0.0118122378099318,0.0434361628220351,0.00246078075661872,0.027630101938415,1.22454387769494
ZAF,0.102713926614551,0.0344926218547477,0.0466274142514156,-0.00813244777881205,0.0193850278124049,1.30771009929174
ZMB,0.0873410580181231,0.0223671006012393,0.00093346278153736,0.000793634002573819,0.0109618101258712,1.33876853493393
ZWE,0.0542661611265606,0.0170269675908856,0.018088885356855,-0.00218487901768222,0.0289555643537614,0.692900358377465
BDI,0.105405148523261,0.0327113645872282,0.0613132551126115,-0.0369672664329379,0.0289626470691088,0.400086501653304
SWZ,0.125634456490739,0.0191097933245096,-0.117450281838909,0.040301542314843,0.183000684435805,0.860867335239142
TUN,0.137576602041056,0.0651690557545451,0.055715054036489,0.00229842022317095,-0.00734435895406886,2.00137962324345
TZA,0.00674976859724831,0.00447607415242587,0.00435002026085129,-0.00339331923664791,0.0223945708217186,1.36616162005626
SDN,0.00646290558319007,0.0168857742329159,0.0478002070771076,0.000623782622433081,-0.0375553656957717,1.91172519693719
SSD,0.00646290558319007,0.0168857742329159,0.0478002070771076,0.000623782622433081,-0.0375553656957717,1.91172519693719
